spa,quz
"pablo nos anima a tratar bien a todas las personas, sean o no creyentes: “no devuelvan mal por mal a nadie ”.","pablon yuyaychawanchis mana iñiqkunata huk runakunatapas imayna qhawarinanchista, paymi niran: “ama pimanpas mana allinmantaqa mana allinllawantaq kutichiychischu ”, nispa."
este consejo es una consecuencia lógica de otro que había dado antes: “aborrezcan lo que es inicuo ”.,"chay yuyaychasqanmi tupan, “mana allinkaqta cheqnikuychis ” nispa ñawpaqpi nisqanwan."
"en efecto, no sería lógico andar diciendo que aborrecemos los malos actos, pero luego recurrir a ellos para vengarnos.",¿imaynataq huk runa mana allinkaqta cheqnikushaspa vengakuq kanman?
"de hecho, eso sería todo lo contrario a tener un amor “sin hipocresía ”.",vengakuq kaspaqa manachá ‘ tukuy sonqowan munakuqchu ’ kanman.
el siguiente consejo de pablo es que hagamos “cosas excelentes a la vista de todos los hombres ”.,"pablon nillantaq: “llapa runaq qayllanpi allin ruwayllatapuni munaychis ”, nispa."
¿qué aplicación tienen estas palabras?,¿imaynatan chayta hunt’asunman?
¿en qué sentido estamos haciendo las cosas “a la vista de todos los hombres ”?,¿imarayku nisunman “llapa runaq qayllanpi ” imatapas ruwanchis nispa?
"pablo ya había escrito para aquel entonces su carta a los corintios, en la cual decía lo siguiente sobre la persecución que afrontaban los apóstoles: “hemos llegado a ser un espectáculo teatral al mundo, tanto a ángeles como a hombres. ","pabloqa apostolkunaq qatiykachasqa kasqankumantan corintios libropi kayta qelqasqa: “kay pachaq qhawakunanmi kapuyku, angelkunaqpas runakunaqpas qhawakunanpaq . runakunan k’amiwanku, ñoqaykutaq sumaq simikunawan kutichiyku, qatiykachawankun, ñoqaykutaq hinalla muchukuyku."
"cuando se nos injuria, bendecimos; cuando se nos persigue, lo soportamos; cuando se nos infama, suplicamos ”.","ñoqaykutan mana kaqmanta tumpawanku, ñoqaykutaq sumaqta kutichiyku ”, nispa."
los cristianos verdaderos seguimos siendo el blanco de las miradas de la gente del mundo.,kay tiempopi cristianokunapas llapa runaq qhawasqanmi kashanchis.
"a veces, las personas que nos rodean responden mejor a nuestro mensaje al ver que hacemos buenas obras incluso cuando estamos recibiendo un trato injusto.",mana allintaña tratawashaqtinchispas allin kawsasqanchista qhawarispan reqsiwaqninchiskuna allin willakuykunata uyarikunkuman.
¿hasta dónde debemos llegar para mantener la paz?,¿maykaman kallpachakunanchis hukkunawan thakpi kananchispaq?
"ahora bien, ¿hasta dónde debemos llegar para promover la paz en nuestras relaciones?",¿maykaman kallpachakunanchis hukkunawan thakpi kananchispaq?
hasta donde sea posible.,tukuy atisqanchistan ruwananchis.
"pablo les dice a sus hermanos cristianos: “si es posible, en cuanto dependa de ustedes, sean pacíficos con todos los hombres ”.","iñiqmasinkunatan pablo niran: “atisqaykichisman hina allinllatapuni ruwaychis llapa runawan sumaqpi kawsanaykichispaq ”, nispa."
las expresiones “si es posible ” y“ en cuanto dependa de ustedes ” indican que no siempre existirá la posibilidad de estar en paz con la gente.,“atisqaykichisman hina ” nisqanpin reparanchis mana llapa runakunawanchu thakpi kananchista.
"por ejemplo, nunca estaría justificado que, tratando de vivir en paz con el prójimo, desobedeciéramos a dios.",runakunawan thakpi kananchisraykullaqa manan hayk’aqpas diospa kamachikuyninta p’akisunmanchu.
"pero, dentro del respeto a los principios justos, siempre debemos hacer todo lo humanamente posible por ser pacíficos “con todos los hombres ”.",ichaqa diospa kamachikuyninkunata mana p’akispan kallpachakunchis “llapa runawan ” thakpi kawsananchispaq.
“no se venguen ”,“ama vengakuychischu ”
¿qué razón para no vengarnos hallamos en romanos doce: diecinueve?,¿ima willakuymi romanos chunka iskayniyuq: chunka jisq'unniyuq textopi tarikun mana vengakunapaq?
"quien procura vengarse no es modesto, pues se toma libertades indebidas al atribuirse un derecho que solo le pertenece a dios.","diospa simin qelqan nin: ‘ ñoqamanmi tupawan vengakunayqa, ñoqañan kutichipusaq ’ ”, nispa."
"en cambio, el verdadero cristiano confía en que jehová “hará que se haga justicia a sus escogidos ”.",cheqaq cristianokunan ichaqa yachanku jehová dios ‘ akllakusqankunapaq chaninchapunanta ’.
"con modestia, deja la venganza en manos de dios.",huch’uyaykukuqqa diosmanmi saqen vengakuyta .
", diecisiete. ¿qué significado tiene la expresión “amontonarás brasas ardientes sobre la cabeza ” de alguien?",", chunka qanchisniyuq. ¿ima ninanmi ‘ nina sansata uma pataman churay ’?"
relate algún caso en el que los actos bondadosos lograron ablandar el corazón de una persona no creyente.,sichus yachanki huk cristiano sumaq sonqowan huk runaq sonqonta llanp’uyachisqanta chayqa willay.
"cuando nos vengamos de un enemigo, es fácil que su corazón se endurezca, pero cuando lo tratamos con bondad, es probable que se ablande.","vengakuqqa awqanpa sonqontan rumiyachinman, sumaqwan kutichiqtinmi ichaqa sonqonta llanp’uyachinman."
¿por qué?,¿imarayku?
¿qué significan estas palabras?,¿ima ninanmi chay simikuna?
el mineral se introducía en un horno y se colocaba sobre brasas.,herreroqa nina sansa patamanmi metalta churaq.
"pero también se le ponían brasas encima a fin de aumentar el calor y fundir el duro metal, lo que llevaba a que se separara de las impurezas del mineral.",hinaspapas astawan unuyananpaqmi metal pataman nina sansata churallaqtaq.
"del mismo modo, cuando tratamos con bondad a un opositor, podemos derretir su corazón de hierro y lograr que afloren sus mejores cualidades.","chhaynallatataqmi allin ruwaykunaqa cheqnikuwaqninchispa sonqonta “unuyachinman ” otaq llanp’uyachinman, sumaq kayninkunatapas rikuchinman ."
"de hecho, muchas personas se han acercado a la congregación cristiana atraídas por la bondad con que las trataron los siervos de jehová y han llegado a abrazar la adoración verdadera.",sumaq sonqowan jehová diospa kamachinkuna tratasqankuraykun kunan askha runakuna jehová diospa llaqtanpi kashanku.
las razones por las que no nos vengamos,imarayku mana vengakunchischu
"¿por qué decimos que quien renuncia a vengarse hace lo que debe, muestra amor y actúa con modestia?","¿imaynapin mana vengakuq runa rikuchin allinkaq ruwasqanta, munakuyniyoq kasqanta, huch’uyaykukuq kasqantawan?"
en este breve examen del capítulo doce de romanos hemos visto varias razones importantes para “no dev olver mal por mal a nadie ”.,"romanos chunka iskayniyuq capitulopin yacharunchis kinsa allin ruwaykunamanta, chaykunan yanapawasun ‘ ama pimanpas mana allinmantaqa mana allinllawantaq kutichinapaq ’."
"en primer lugar, porque es nuestro deber.",hukninmi allinkaq ruway.
"en vista de la compasión que dios nos muestra, es justo y razonable dedicarnos por completo a él y obedecer de buena gana sus mandamientos, incluido el que nos ordena amar a nuestros enemigos.","diospa khuyapayawasqanchisrayku, payman qokunanchis, kamachikuyninkunata kasukunanchis, awqanchiskunatapas munakunanchis."
"en segundo lugar, es una muestra de amor.",iskaykaqpi munakuyta rikuchin.
"al no desquitarnos y promover la paz, demostramos que amamos incluso a nuestros opositores más crueles y que no perdemos la esperanza de que se hagan siervos de jehová.","thak kayta maskhaspa mana vengakuqtinchisqa ñoqanchis contra hatariq runakunatan yanapasun jehová diospa kamachin kanankupaq, chaypin rikuchisun paykuna munakusqanchista."
"y en tercer lugar, manifestamos modestia.",kinsakaqpitaq huch’uyaykukuq kayta rikuchin.
"el que se venga se toma libertades indebidas, pues jehová declara: “mía es la venganza ”.","jehová diosllamanmi tupan vengakuyqa, chaymi nin: “ñoqañan kutichipusaq ” nispa, chayrayku vengakuqqa hatunchakushan."
"en efecto, actuaremos con sabiduría y modestia si dejamos la venganza en manos de dios.","arí, jehová diosman vengakuyta saqespaqa yuyayniyoq, huch’uyaykukuq kasqanchistan rikuchisun."
¿qué veremos en el próximo artículo?,¿imamantan qatimuq estudiopi yachasun?
"como resumen de su disertación sobre el trato al prójimo, pablo hace esta exhortación: “no te dejes vencer por el mal, sino sigue venciendo el mal con el bien ”.","runamasinchista imayna qhawarinamanta yuyaychaspan pablo niran: “mana allinkaqwanqa ama atipachikuychu, aswanpas mana allinkaqtaqa allinkaqwan atipay ”, nispa."
"ahora bien, ¿a qué fuerzas del mal nos enfrentamos hoy?",¿pikunan kay tiempopi awqanchiskuna?
¿cómo podemos vencerlas?,¿imaynatan atipasuman?
en el próximo artículo veremos la respuesta a estas y a otras preguntas relacionadas.,chay tapukuykunata huk tapukuykunatawanmi qatimuq estudiopi kutichikunqa.
¿podría explicarlo?,¿kutichiwaqchu?
 ¿a qué nos exhorta pablo varias veces en el capítulo doce de romanos?, ¿ima ruwaymanta karunchakunanchispaqmi pablo yuyaychawanchis askha kutita romanos chunka iskayniyuq capitulopi?
 ¿qué nos ayudará a resistir el impulso de vengarnos?, ¿imakunan yanapawasun mana vengakuq kananchispaq?
 ¿cómo nos beneficiaremos nosotros y otras personas si no ‘ devolvemos mal por mal ’?, ¿imaynatan yanapawasun ñoqanchista hukkunatapas mana pimanpas ‘ mana allinmanta mana allinllawantaq kutichiqtinchis ’?
"cuando la muerte nos separa de algún familiar, esa enorme pérdida puede producir mucha angustia.",pillapas familianchismanta wañupuqtinqa sinchi llakikuymi kanman.
el capítulo doce de romanos habla de la relación del cristiano,romanos chunka iskayniyuq capitulopin willashan imaynata cristianokuna allinpi kankuman
 con jehová, jehová dioswan
 con sus hermanos en la fe, iñiqmasinkunawan
 con los no creyentes, mana iñiqkunawan
“sigue venciendo el mal con el bien ”,“mana allinkaqtaqa allinkaqwan atipay ”
"“no te dejes vencer por el mal, sino sigue venciendo el mal con el bien. ”","“mana allinkaqwanqa ama atipachikuychu, aswanpas mana allinkaqtaqa allinkaqwan atipay. ”"
¿por qué estamos seguros de que es posible vencer el mal?,¿imaynapin yachanchis mana allinkaqta atipay atisqanchista?
¿podemos resistir los feroces ataques contra la adoración verdadera?,¿atipasunmanchu k’arak phiñakuywan diospa llaqtanta qatiykachaqkunata?
¿podemos derrotar a las fuerzas que intentan arrastrarnos de vuelta al mundo y alejarnos de dios?,"¿atipasunmanchu millay kawsayman aysawaqninchiskunata, diosmanta karunchakunanchista munaq awqanchiskunatapas?"
contestamos a ambas preguntas con un rotundo sí.,"arí, atipasunmanmi."
¿por qué estamos tan seguros?,¿imarayku chayta ninchis?
"porque así lo indica el apóstol pablo en su carta a los romanos: “no te dejes vencer por el mal, sino sigue venciendo el mal con el bien ”.","roma llaqtapi tiyaq cristianokunaman apóstol pablo khaynata nisqanrayku: “mana allinkaqwanqa ama atipachikuychu, aswanpas mana allinkaqtaqa allinkaqwan atipay ”."
el mundo y su maldad nunca podrán con nosotros si mantenemos la confianza en jehová y la firme determinación de no sucumbir.,"sichus jehová diospi hap’ipakusun runakunaq millay ruwayninkunamantapas karunchakusun chayqa, atipasunmi kay pachapi millay ruwaykunata millay runakunatapas."
"además, la expresión “sigue venciendo el mal ” nos muestra que es posible derrotar el mal siempre y cuando perseveremos en la lucha espiritual.",“mana allinkaqtaqa ” atipashallaypuni nisqa rimaymi rikuchin kallpachakuspa mana allinkaqta atipananchista.
"únicamente fracasaremos si bajamos la guardia y cesamos de combatir contra este mundo perverso y su maligno gobernante, satanás.","pisipaspa mana kallpachakuqkunallan kay millay pachawan aysachikunku, kay pachata kamachiq satanaspa makinpipas urmanku."
¿con qué propósito repasaremos algunos sucesos de la vida de nehemías?,¿imamanta yachananchispaqmi nehemiasmanta yachasun?
"unos quinientos años antes de pablo, vivió en jerusalén un siervo de dios que demostró lo ciertas que son las palabras del apóstol sobre la lucha contra el mal.","pabloq kawsasqanmanta phisqa pachak wata ñawpaqtan jerusalén llaqtapi diospa huk kamachin tiyaran, chay runamanta yachaspan mana allinkaq atipaymanta pabloq qelqasqanta sut’inchasun."
"nos referimos a nehemías, quien no solo resistió la oposición de los enemigos de dios, sino que también venció el mal con el bien.","chay runaqa nehemiasmi karan, payqa manan millay runakunallatachu atiparan mana allinkaqtapas allinkaqwanmi atiparan."
pero ¿cuáles fueron las dificultades que encaró?,"ichaqa, ¿ima sasachakuykunapin tarikuran?"
¿qué le permitió superarlas?,¿iman yanaparan atipananpaq?
¿cómo podemos imitar su ejemplo?,¿imakunapin payta qatikusunman?
"para contestar estos interrogantes, repasemos algunos sucesos de su vida.",chay tapukuykunata kutichinapaq nehemiasmanta yachasun.
"“oramos a nuestro dios ”, dice nehemías.","nehemiasmi nin: “diosniykumanta mañakurqayku ”, nispa."
"¿en qué ambiente vivió nehemías, y qué proeza llegó a realizar?","¿imayna runakuna ukhupin nehemías tiyaran, ima ancha allin llank’aytan ruwaran?"
nehemías sirvió en la corte del rey artajerjes de persia.,nehemiasqa persia suyupi artajerjes kamachikuqpa kamachinmi karan.
"aunque estaba rodeado de paganos, se negó a “amoldarse ” al“ sistema de cosas ” de sus días.","huk dioskunata yupaychaq runakuna ukhupiña tiyaran chaypas, manan ‘ imaynatachus kawsasqankuta hinaqa kawsaranchu ’."
"al comprender que era necesario reconstruir las murallas de jerusalén, estuvo dispuesto a sacrificar su cómoda vida, emprender el extenuante viaje a judá y dirigir aquella enorme tarea.","jerusalenpa perqankuna hatarichina kananta yachaspan sumaq kawsayninta saqespa karuta puriran judá llaqtaman chayananpaq, chaypitaqmi llaqtaq perqankunata sayarichiypi umalliran."
"pese a ser el gobernador de la ciudad, trabajaba todos los días junto a sus hermanos israelitas, “desde que ascendía el alba hasta que salían las estrellas ”.",chay llaqtapi kamachikuqña karan chaypas sapa p’unchaymi “pacha paqariymanta tutayanankama ” israelita wayqenkunawan llank’aran.
así fue posible terminar la reconstrucción en tan solo dos meses.,chhaynata llank’aspan iskay killallapi perqayta tukuranku .
"sin duda, fue toda una proeza, y más teniendo en cuenta que durante las obras los israelitas soportaron oposición de diversos tipos.","llank’ashantinkun imaymana sasachakuykuna karan, chhaynapi tarikushaspapas ratulla perqa sayarichisqankuqa ancha allinpunin karan."
"¿quiénes eran los adversarios de nehemías, y qué se proponían?","¿pikunan nehemiaspa awqankuna karan, imatan munaranku?"
¿qué objetivo tenían los enemigos de nehemías?,¿imatan munaranku nehemiaspa awqankuna?
"los principales adversarios fueron sanbalat, tobías y guésem, hombres influyentes que vivían cerca de judá.","judá llaqtaq qayllanpi tiyaq sanbalat, tobías, guésem atiyniyoq runakunan nehemiaspa awqankuna karan."
"eran enemigos del pueblo de dios, y por ello “les pareció algo muy malo el que nehemías hubiera venido para procurar algo bueno para los hijos de israel ”.","kay awqakunan ‘ israel runakunaq allinninpaq nehemiás jerusalenman chayasqanta yachaspanku, sinchita phiñakurqanku ’ ."
"estaban resueltos a impedir que nehemías llevara a cabo sus planes de reconstruir las murallas, aunque para ello tuvieran que servirse de sucias trampas.",nehemiaspa perqa sayarichisqanta qolluchiyta munaspan chay runakunaqa imaymana millay ruwaykunata ruwaranku.
¿qué ocurriría?,¿iman sucederan?
¿se dejaría “vencer por el mal ” nehemías?,¿atipachikunmanchu nehemías ‘ mana allinkaqwan ’?
“se encolerizó y se ofendió ”,"“sinchita phiñakurqan, sonqonpas rawrarirqanraq ”"
", seis. ¿cuál fue la reacción de los enemigos de nehemías al ver las obras de reconstrucción?",", suqtayug. ¿ima nirankun nehemiasta awqankuna perqa sayarichisqankumanta?"
¿por qué no se dejó intimidar nehemías?,¿imaraykun nehemías mana manchakuranchu awqankunata?
el propio nehemías indica que “fortalecieron sus manos para la buena obra ”.,nehemías willan: “paykunataq kallpachanakurqanku allin yuyaykusqankuman hina llank’anankupaq ”.
¿contra el rey se están rebelando? ’ ”.,¿rey contrachu sayarishankichis? ”
pero nehemías no se dejó intimidar por las burlas y calumnias de sus enemigos.,nispa.
"más bien les señaló: “el dios de los cielos es quien nos otorgará éxito, y nosotros mismos, los siervos de él, nos levantaremos, y tenemos que edificar ”.","asipayasqankuta, yanqamanta tunpasqankutawan mana kasuspan nehemías kutichiran: “hanaq pacha diosmi tukunaykukama yanapawanqaku ”, nispa ."
nehemías estaba decidido a seguir adelante con “la buena obra ”.,nehemiasqa manan chay allin ‘ llank’anata ’ saqeyta munaranchu.
"uno de aquellos enemigos, sanbalat, “se encolerizó y se ofendió ” muchísimo, de modo que se volvió más agresivo en sus ataques verbales.","hukninkaq awqan sanbalatmi “sinchita phiñakurqan, sonqonpas rawrarirqanraq ”, chaymi astawanraq k’amiran."
"“¿qué están haciendo los endebles judíos? ”, preguntó en son de burla, y agregó:“ ¿harán vivir las piedras de entre los montones de escombros polvorosos? ”.","asikuspan kayta niran: “¿imatataq kay pisikallpa judío runakunari ruwashanku? ” nispa, chaymantan nillarantaq:“ ¿chay k’urpa montonmanta ruphasqa rumikunatapas horqonkumanchu? ”"
¿qué hizo nehemías entonces?,¿imatan ruwaran nehemías?
¿cómo reaccionó nehemías ante los ataques de sus enemigos?,¿imatan nehemías ruwaran awqankuna k’amiqtin?
"nehemías no hizo el más mínimo caso a las burlas y, en obediencia al mandato divino, no se vengó.","nehemiasqa manan kasuranchu asipayasqankuta, manataqmi vengakuranchu diospa kamachikusqanta kasukuspa ."
"dejó las cosas en manos de jehová, orándole así: “oye, oh dios nuestro, porque hemos llegado a ser objeto de desprecio; y haz que el oprobio de ellos vuelva sobre su propia cabeza ”.","jehová diosmanmi saqeran vengakuyta, mañakurantaq: “¡diosniyku, uyariy khaynata pisichawasqankuta!"
"jehová había declarado: “mía es la venganza, y la retribución ”.","paykunaman kutichiy k’amiwasqankuta ”, nispa ."
y nehemías confiaba plenamente en aquellas tranquilizadoras palabras.,"ñawpaqtaraqmi jehová dios kayta nisqa: “ñoqan awqakunata vengakuqqa kani, ñoqan chaskinanta pagaqqa kani ”, nispa ."
de modo que nehemías y su pueblo siguieron “edificando el muro ” sin dejarse distraer.,chay simikunapin nehemiasqa tukuy sonqonwan hap’ipakuran.
"“todo el muro vino a estar unido hasta la mitad de su altura, y el pueblo continuó teniendo corazón para trabajar. ”","chayraykun nehemiasqa mana imata manchakuspa israelitakunawan kuska ‘ tukuy sonqo llank’ashallarqanku, chaymi kuskan perqakama sayarichirqanku. ’ "
"como vemos, los enemigos de la adoración pura no lograron parar las obras.",awqakunaqa manan israelitakunaq perqasqanta qolluchiyta atirankuchu.
"ahora bien, ¿de qué maneras podemos nosotros seguir el ejemplo de nehemías?",¿imaynapin nehemías hina kasunman?
¿cómo podemos imitar a nehemías cuando nos calumnian?,"yanqamanta tunpawaqtinchis, ¿imatan ruwananchis nehemías hina?"
"relate una experiencia, propia o ajena, que muestre que lo mejor es no pagar con la misma moneda.","willay imakunapin yanaparasunki mana vengakuq kasqayki, huk cristianomanta yachaspapas willay."
"es posible que nosotros también tengamos que soportar burlas y calumnias, que pudieran provenir de compañeros de estudios o de trabajo e incluso de familiares.","yaqapaschá pipas escuelapi, llank’anapi, otaq wasipipas asipayawasunman otaq yanqamanta tunpawasunman."
"en muchas ocasiones, lo mejor es actuar de acuerdo con las siguientes palabras de la biblia: “hay un tiempo de callar ”.",mayninpiqa aswan allinmi kanman “kanmi upallakuna tiempo ” nispa bibliaq nisqanta kasukuy .
"por eso, al igual que nehemías, no pagamos con la misma moneda.",chayrayku nehemías hina mana k’arak simiwanchu kutichinchis.
"en vez de responder con palabras hirientes, oramos con confianza al dios que promete: “yo pagaré ”.",aswanmi “ñoqañan kutichipusaq ” nispa jehová diospa nisqanpi hap’ipakunchis.
así no permitimos que los enemigos nos distraigan de nuestra comisión de predicar las buenas nuevas del reino de dios y hacer discípulos.,"chaymi awqanchiskunata mana kasuspa diospa reinonmanta allin willakuykunata predicashanchis, runakunatapas yanapashanchis jesuspa qatikuqnin kanankupaq."
"cada vez que salimos a predicar, a pesar de la oposición, demostramos una actitud tan decidida como la del fiel nehemías.",cheqnikuwanchisña chaypas sapa kutilla predicasqanchiswanmi rikuchishanchis nehemías hina kasqanchista.
“ciertamente los mataremos ”,“wañurqachisunchis ”
"¿de qué otra forma se opusieron a nehemías sus enemigos, y cómo reaccionó él?","¿imatan nehemiaspa awqankuna ruwallarankutaq, imatan nehemías ruwaran?"
"cuando los enemigos de la adoración verdadera se enteraron de que “la reparación de los muros de jerusalén había adelantado ”, tomaron sus espadas para“ pelear contra jerusalén ”.",‘ jerusalén perqata usqhaylla sayarichishasqankuta ’ yacharuspan awqankunaqa espadankuta hap’ispa ‘ jerusalenta phawaykuranku ’.
"el panorama que tenían ante sí los judíos no era nada alentador: al norte estaban los samaritanos; al este, los ammonitas; al sur, los árabes, y al oeste, los asdoditas.","judiokunaqa sinchi sasachakuypin tarikuranku, wichay ladopin tiyaranku samaritanokuna; inti lloqsimuy ladopi ammonitakuna; uray ladopi árabe runakuna; inti haykuy ladopitaq asdodita runakuna."
muchos jóvenes se autolesionan.,askha wayna sipaskunan aycha qarankuta kuchukunku.
¿por qué lo hacen?,¿imanaqtin?
¿será una tendencia pasajera?,¿pukllaspallachu chayta ruwakunku?
"si tienes ese hábito, ¿qué puedes hacer para librarte de él?","sichus qanpas chayta ruwashanki chay, ¿maypin yanapayta tariwaq?"
el gozo es un sentimiento de gran alegría y placer.,"(ñit’iykuy enseñanzas bíblicas jóvenes nisqapi, español simip"
jehová es el “dios feliz ”.,dibujokunayoq willakuyta leenapaq.
jesús se deleita en hacer la voluntad de su padre.,"kaykunata ruwayqa wawaykichiskunatan yanapanqa bibliaq rimasqan wakin runakunata reqsinankupaq, allin kaqkunata yachanankupaqpas."
"y en cuanto a nosotros, “el gozo de jehová es nuestra plaza fuerte ”.","(ñit’iykuy enseñanzas bíblicas niños nisqapi, español simip"
"gracias al gozo procedente de dios, sentimos una gran satisfacción al hacer la voluntad divina aun cuando afrontamos dificultades, penas o persecución.",qallariypi kaq
"nuestra gozosa relación con dios tiene como base el conocimiento exacto, así como la fe en él y en el sacrificio redentor de jesús.",harrietmi iskay waranqa suqtayug watapi wañupurqan pachak qanchis chunka phichqa.niyuq watanpi.
"claro, harriet no era una mujer, sino una tortuga de las galápagos que vivía en un zoológico de australia.","harrietqa galápagos islamanta huk tortugan karqan, chay animalqa australia zoologicopin tiyarqan."
"si la comparamos con nosotros, vivió muchísimo tiempo, pero si la comparamos con otros seres vivos, su edad no era nada excepcional.",kawsasqanchismantaqa aswantaraqmi kawsarqan ichaqa huk kawsaqkunamantaqa pisillatan kawsarqan.
veamos algunos ejemplos.,wakinmanta yachasun.
"la ostra perlífera de agua dulce puede alcanzar los doscientos años, según un grupo de investigadores finlandeses.","perlakunata ruwaq ch’urun iskay pachak watata kawsan, chaytan ninku finlandia nacionmanta estudiaq runakuna."
"la almeja de islandia suele vivir más de cien años, y se sabe de algunas que han sobrepasado los cuatrocientos.",islandia nacionmanta ch’urun kawsan pachak watakuna mastaraq wakintaq tawa pachak watakuna mastaraq.
"el pino longevo, la secuoya gigante y varias especies de alerces y abetos viven miles de años.","waranqa watakunata kawsaq sach’akunapas kanmi, wakinmi unayta kawsaq pino, hatunkaray secuoya, hukkunapas."
"¿le parece que eso es a lo máximo que podemos aspirar, o será posible vivir mucho más tiempo?",¿allinchu chhayna pisi tiempolla kawsasqanchis icha atisunmanraqchu aswan unay kawsayta?
hay quienes confían en que la ciencia y la tecnología médica descubrirán el secreto de la eterna juventud.,askha runan confianku cienciawan medicokunaq utilizanan imaymana maquinakunawan wiñaypaq wayna sipaslla kawsayta tarinankupi.
la ciencia ha contribuido enormemente al progreso en los campos de la salud y la tecnología médica.,"cienciaqa anchatapunin yanapakushan saludninchis allin kananpaq, medicokunaq imaymana maquinakuna utilizasqanta horqomuspanku."
la revista scientific american comenta: “en estados unidos fallecen menos personas por causa de las enfermedades infecciosas o complicaciones en el parto .,huk revistan nin: “estados unidos nacionpin pisi runallaña wañushan contagiaq onqoykunawan otaq wawata onqokuspapas .
la mortalidad infantil ha descendido un setenta y cinco por ciento desde mil novecientos sesenta ”.,"wawakunapas waranqa jisq'un pachak suqta chunka watakunamantaqa aswan pisillañan wañushanku ”, nispa."
"no obstante, los intentos de la ciencia por prolongar nuestra vida no han tenido mucho éxito, como señala otro número de la misma revista: “tras décadas de investigación, el envejecimiento sigue siendo un misterio.","ichaqa cienciaqa manan yanapawanchischu aswan unayta kawsanapaq, kaq revistallataqmi huk kutinpi chaymanta rimaspa nirqan: “unayña estudiashanku chaypas kunankaman mana yachakunchu imarayku machuyapusqanchista."
la esperanza del reino y el gran privilegio de proclamar las buenas nuevas también nos causan gran alegría.,diospa reinonta suyakuypas allin willakuykunata willaypas kusichiwallanchistaqmi.
las pruebas indican que dicho proceso ocurre cuando los programas genéticos que controlan el desarrollo de las células empiezan a fallar ”.,"pruebakunata ruwaspan yachakun celulanchiskuna ukhupi imapas mana allinta llank’aqtin machuyapusqanchista ”, nispa."
"el artículo continúa: “si el envejecimiento es un proceso esencialmente genético, cabe la posibilidad de que algún día se pueda prevenir ”.","nillantaqmi: “sichus machuyanchis celulanchiskuna ukhupi imapas mana allinta llank’aqtin chayqa, hayk’aqllapas atikunmanmi allichakuyta ”, nispa."
"“tras décadas de investigación, el envejecimiento sigue siendo un misterio ”",“unayña estudiashanku chaypas kunankaman mana yachakunchu imarayku machuyapusqanchista ”
"al investigar las causas del envejecimiento y las enfermedades propias de la vejez, algunos científicos están explorando una rama de la genética llamada epigenética.","runakunaqa yachaytan munanku imarayku machuyasqanchista, machuyaqtinchis onqoykuna hap’iwasqanchismantapas, chaytan nikun epigenética nisqa."
¿qué estudia esta ciencia?,¿imatan chay estudian?
las células contienen información genética necesaria para la producción de nuevas células.,celulanchiskuna ukhupin grabasqa kashan huk celulakunata imaynata kamakunanpaq.
"gran parte de esa información está en el genoma, término que se refiere al adn de la célula.","chay grabasqa kaqmi yaqa llapan tarikun genoma nisqapi, chayqa adn nisqan."
"en los últimos años, los científicos se han concentrado en otro conjunto de mecanismos celulares llamado epigenoma (que significa “sobre el genoma ”).","kay qhepa watakunapin wakin cientificokuna astawan estudiashallankutaq celulanchiskuna ukhunpi hukkuna sucedesqantapas, chay sucedesqankunan sutichakun epigenoma nispa."
"la epigenética estudia estos sorprendentes mecanismos, así como las reacciones químicas que generan.",epigenética nisqataq epigenomata estudian.
las moléculas del epigenoma son completamente distintas al adn.,epigenoma nisqapi kaqkunaqa hukniraymi adn nisqamanta.
"mientras que este se parece a una escalera de caracol o hélice doble, el epigenoma es básicamente un sistema de etiquetas químicas adheridas al adn.","adn nisqaqa q’ewisqa otaq k’uyusqa escalera hinan, epigenomataq adn nisqaman k’askasqa markachakuna hina."
¿qué función cumplen?,¿imatan ruwan epigenoma nisqa?
"dirigen la manera en que se emplea la información que tiene el adn, como si fueran un director de orquesta.",adn nisqapi willakuykunatan kamachin imaynan wasi hatarichiypi maestroqa llank’aqninkunata kamachin hinata.
"“encienden ” y“ apagan ” diversos conjuntos de genes dependiendo de las necesidades de la célula y de factores ambientales como la dieta, el estrés y las toxinas.","adn nisqapi willakuykunatan kamachin “llank’anankupaq ” otaq“ mana llank’anankupaqpas ” chayqa kanqa celulaq necesitasqanman hinan otaq imachus mikhusqanchismanta, imayna sientekusqanchismanta hukkunamantapas."
"los descubrimientos recientes de la epigenética han causado una revolución en el campo de la biología, la cual ha vinculado al epigenoma con algunas enfermedades e incluso con el proceso de envejecimiento.","epigenética nisqapi chayllaraq imaymana tarisqankun biología nisqata astawanraq ñawparichishan, chaymi epigenoma nisqaman tunpashanku wakin onqoykunamanta machuyaymantapas."
"así que las investigaciones podrían producir terapias efectivas para mejorar la salud, combatir enfermedades incluso el cáncer y, como resultado, prolongar la vida.","chhaynaqa allinta estudiaspaqa tarinkumanmi ima hampillatapas saludninchista allinyachinanpaq, onqoykunata chinkachinanpaq chhaynapitaq astawan kawsasunman."
"con todo, no se vislumbran avances significativos en el futuro inmediato.",ichaqa manaraqmi chaykunaqa rikukunchu.
carey dice: “seguimos atascados en la misma rutina de siempre para combatir el envejecimiento: muchos vegetales y mucho ejercicio ”.,"chaymi carey nin: “tukuy tiempon nishallanchis ama machuyanapaqqa askha verdurakunatan mikhuna ejerciciotataq ruwana nispalla, chay niyllapin muyurishanchis ”, nispa."
